id,# readmes,mean readme lines,# readme links,% acc. links,found dataset,# licences,# os licenses,mean CCR,mean pylint score,# rs decl lines,% fixed rs lines,MS found,HPL found,% pub. avail. Libs,% strict decl. In conf,% decl. In conf to used in sc
87,1,3.0,1,0.0,0,1,1,2.47,2.5,0,0,0,0,100.0,0,0.0
88,14,43.86,37,94.59,1,3,3,10.4,3.0,25,100.0,1,0,91.67,0,0.0
89,1,15.0,0,100.0,1,0,0,3.42,4.79,2,100.0,0,0,100.0,0,0.0
90,1,324.0,31,54.84,1,1,1,8.07,3.83,5,100.0,1,0,100.0,20.0,66.67
91,1,130.0,3,100.0,0,1,1,34.83,0.0,0,0,0,0,100.0,0,0.0
92,1,21.0,2,50.0,0,1,1,4.39,4.85,0,0,0,0,100.0,0,0.0
93,1,64.0,2,100.0,1,0,0,5.96,3.91,0,0,1,0,100.0,100.0,66.67
94,2,41.5,10,70,1,0,0,1.31,4.61,1,100.0,0,0,100.0,100.0,85.71
95,1,112.0,12,100.0,1,1,1,3.29,8.58,0,0,1,0,83.33,0.0,50.0
96,1,19.0,1,100.0,0,1,1,11.58,0.0,1,100.0,0,0,100.0,11.11,33.33
97,1,1.0,0,100.0,0,1,1,39.28,7.21,0,0,0,0,0,0,0
98,1,27.0,1,100.0,0,1,1,3.87,5.22,0,0,1,0,100.0,0,0.0
99,1,13.0,2,100.0,1,0,0,2.73,0.0,1,100.0,0,0,100.0,0.0,100.0
